,semantic,correct_relationships,model,CF,dataset
0,0.0,0.0,linear,Clue,sanity-3-non-lin
1,0.0,0.0,linear,Clue,sanity-3-non-lin
2,0.0,0.0,linear,Clue,sanity-3-non-lin
3,0.0,0.0,linear,Clue,sanity-3-non-lin
4,0.0,0.0,linear,Clue,sanity-3-non-lin
5,0.0,0.0,linear,Clue,sanity-3-non-lin
6,0.0,0.0,linear,Clue,sanity-3-non-lin
7,0.0,0.0,linear,Clue,sanity-3-non-lin
8,0.0,0.3333333333333333,linear,Clue,sanity-3-non-lin
9,0.3333333333333333,0.3333333333333333,linear,Clue,sanity-3-non-lin
10,0.3333333333333333,0.3333333333333333,linear,Clue,sanity-3-non-lin
11,0.3333333333333333,0.3333333333333333,linear,Clue,sanity-3-non-lin
12,0.3333333333333333,0.3333333333333333,linear,Clue,sanity-3-non-lin
13,0.3333333333333333,0.3333333333333333,linear,Clue,sanity-3-non-lin
14,0.3333333333333333,0.3333333333333333,linear,Clue,sanity-3-non-lin
15,0.3333333333333333,0.3333333333333333,linear,Clue,sanity-3-non-lin
16,0.3333333333333333,0.3333333333333333,linear,Clue,sanity-3-non-lin
