,semantic,correct_relationships,model,CF,dataset
0,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
1,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
2,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
3,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
4,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
5,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
6,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
7,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
8,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
9,0,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
10,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
11,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
12,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
13,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
14,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
15,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
16,0,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
17,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
18,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
19,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
20,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
21,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
22,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
23,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
24,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
25,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
26,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
27,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
28,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
29,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
30,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
31,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
32,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
33,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
34,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
35,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
36,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
37,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
38,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
39,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
40,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
41,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
42,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
43,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
44,0,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
45,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
46,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
47,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
48,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
49,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
50,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
51,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
52,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
53,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
54,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
55,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
56,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
57,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
58,0,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
59,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
60,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
61,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
62,0,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
63,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
64,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
65,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
66,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
67,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
68,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
69,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
70,0,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
71,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
72,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
73,0,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
74,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
75,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
76,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
77,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
78,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
79,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
80,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
81,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
82,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
83,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
84,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
85,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
86,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
87,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
88,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
89,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
90,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
91,0,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
92,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
93,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
94,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
95,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
96,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
97,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
98,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
99,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
100,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
101,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
102,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
103,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
104,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
105,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
106,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
107,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
108,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
109,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
110,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
111,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
112,1,0.6666666666666666,MLP0,do_calculus,sanity-3-non-add
