,semantic,correct_relationships,Success_Rate,model,CF,dataset
0,1.0,0.0,1.0,MLP0,causal_recourse,sanity-3-lin
1,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
2,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
3,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
4,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
5,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
6,0.0,1.0,,MLP0,causal_recourse,sanity-3-lin
7,0.0,1.0,,MLP0,causal_recourse,sanity-3-lin
8,1.0,0.0,,MLP0,causal_recourse,sanity-3-lin
9,0.0,1.0,,MLP0,causal_recourse,sanity-3-lin
10,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
11,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
12,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
13,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
14,0.0,1.0,,MLP0,causal_recourse,sanity-3-lin
15,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
16,1.0,0.0,,MLP0,causal_recourse,sanity-3-lin
17,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
18,1.0,1.0,,MLP0,causal_recourse,sanity-3-lin
19,1.0,1.0,,MLP0,causal_recourse,sanity-3-lin
20,1.0,0.0,,MLP0,causal_recourse,sanity-3-lin
21,0.0,1.0,,MLP0,causal_recourse,sanity-3-lin
22,1.0,0.0,,MLP0,causal_recourse,sanity-3-lin
23,0.0,1.0,,MLP0,causal_recourse,sanity-3-lin
24,0.0,1.0,,MLP0,causal_recourse,sanity-3-lin
25,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
26,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
27,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
28,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
29,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
30,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
31,0.0,1.0,,MLP0,causal_recourse,sanity-3-lin
32,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
33,0.0,0.0,,MLP0,causal_recourse,sanity-3-lin
34,1.0,0.0,,MLP0,causal_recourse,sanity-3-lin
35,0.0,1.0,,MLP0,causal_recourse,sanity-3-lin
